tf,cell_line,accuracy,total_predictions,false_positives,true_negatives,false_negatives,true_positives
KLF4,MCF7,0.7580803134182175,1021,214,212,33,562
ELF1,A549,0.7004160887656034,7210,2099,1273,61,3777
ELF1,SK-N-SH,0.475129111171514,7358,3788,1403,74,2093
ELF1,MCF7,0.6631008980454305,7572,2507,1253,44,3768
NRF1,HELA,0.6694805194805195,3080,997,78,21,1984
NRF1,MCF7,0.8571428571428571,7,1,0,0,6
ZEB1,HEK_293,0.32479627473806755,1718,1137,408,23,150
RXRA,THP-1,0.8631578947368421,95,10,77,3,5
RXRA,SK-N-SH,0.688588850174216,4592,1176,2736,254,426
RXRA,MCF7,0.7430830039525692,1265,273,645,52,295
GABPA,HELA,0.7025862068965517,232,45,76,24,87
GABPA,THP-1,0.5789473684210527,19,7,3,1,8
GABPA,A549,0.7073585708209272,9404,2613,1657,139,4995
GABPA,SK-N-SH,0.4296437832673673,7327,4117,900,62,2248
GABPA,MCF7,0.7426071213035607,3314,829,260,24,2201
SP1,A549,0.7898192416006288,61076,9064,22184,3773,26055
SP1,HEK_293,0.5533007334963325,4090,1561,965,266,1298
SP1,HuH-7,0.653756968770043,20269,6693,2586,325,10665
STAT1,MCF7,0.8979591836734694,49,4,42,1,2
MAZ,A549,0.7850746268656716,335,34,198,38,65
MAZ,HEK_293,0.45439445877654877,28297,14908,7129,531,5729
MAZ,MCF7,0.5306122448979592,147,67,20,2,58
ETS1,THP-1,0.7168494516450648,6018,856,2807,848,1507
ETS1,A549,0.832886805090422,5972,829,2522,169,2452
YY1,A549,0.6148912086529996,7951,3005,2148,57,2741
YY1,AN3_CA,0.6496834045059637,6791,2287,1698,92,2714
YY1,HELA,0.7759213759213759,2035,429,355,27,1224
YY1,THP-1,0.6593959731543624,596,198,51,5,342
YY1,HuH-7,0.6492890995260664,1055,358,145,12,540
YY1,HEK_293,0.4775336175795343,3049,1558,546,35,910
YY1,LNCAP,0.5805454034298566,7114,2877,1377,107,2753
REST,A549,0.4510818438381938,2126,1101,613,66,346
REST,AN3_CA,0.3801749271137026,1715,967,375,96,277
REST,HELA,0.5345739056883062,4729,1916,1662,285,866
REST,SK-N-SH,0.5974271660991298,2643,998,1217,66,362
REST,HEK_293,0.4480651731160896,982,526,334,16,106
REST,MCF7,0.5582909783989835,6296,2565,2498,216,1017
REST,LNCAP,0.44329896907216493,97,43,5,11,38
MAFK,A549,0.2222222222222222,45,34,4,1,6
MAFK,MCF7,0.5127238454288408,1061,489,199,28,345
PRDM1,A549,0.2826086956521739,46,32,10,1,3
PRDM1,HEK_293,0.2773109243697479,238,171,50,1,16
FOXM1,A549,0.8524590163934426,61,7,51,2,1
FOXM1,AN3_CA,0.7936580882352942,2176,398,1541,51,186
FOXM1,HELA,0.8708791208791209,364,41,271,6,46
FOXM1,SK-N-SH,0.8170550322260783,2017,289,1547,80,101
FOXM1,MDA-MB-231,0.8206963878945656,3073,442,2221,109,301
FOXM1,HuH-7,0.8471074380165289,484,41,403,33,7
FOXM1,HEK_293,0.8635204081632653,784,89,637,18,40
FOXM1,MCF7,0.7581467181467182,6475,1456,2691,110,2218
STAT3,MDA-MB-231,0.5997056659308315,4077,1504,1426,128,1019
STAT3,MCF7,0.5450774939969439,13743,6162,4774,90,2717
VDR,THP-1,0.5126640219713152,3277,1501,539,96,1141
GATA3,A549,0.6757648470305939,10002,3122,5781,121,978
GATA3,THP-1,0.8484848484848485,33,4,25,1,3
GATA3,SK-N-SH,0.47032935831913686,7044,3667,2118,64,1195
GATA3,MDA-MB-231,0.43429339749486945,14131,7811,4629,183,1508
GATA3,MCF7,0.48307256541677907,14828,7524,5237,141,1926
JUND,A549,0.6941558112423336,19729,5833,7486,201,6209
JUND,SK-N-SH,0.34082909659757527,5114,3295,1138,76,605
JUND,MCF7,0.6523953388001726,11585,3904,2820,123,4738
JUND,PC-3,0.675818373812038,3788,1106,902,122,1658
E2F1,MDA-MB-231,0.6113597777434789,19437,6479,5734,1075,6149
E2F1,HELA,0.6624843161856964,2391,757,369,50,1215
E2F1,MCF7,0.6089769746429612,17155,6432,3114,276,7333
TAF1,A549,0.7064431015405567,11749,3123,4067,326,4233
TAF1,AN3_CA,0.7463304184884447,12808,2698,5231,551,4328
TAF1,HELA,0.8232083531086853,16856,2179,9139,801,4737
TAF1,SK-N-SH,0.5820919175911252,12620,4866,5023,408,2323
TAF1,HEK_293,0.5336262250760392,5918,2546,1793,214,1365
TAF1,MCF7,0.5670731707317073,13612,5760,2863,133,4856
TAF1,Ishikawa,0.5850598190837467,20562,8196,5427,336,6603
CEBPB,THP-1,0.549775833198293,18513,8143,2534,192,7644
CEBPB,AN3_CA,0.41167002012072434,2485,1436,477,26,546
CEBPB,A549,0.39873760144274123,5545,3308,767,26,1444
CEBPB,MCF7,0.34390879478827363,15350,10031,2839,40,2440
ERG,MCF7,0.6929577464788732,1420,395,688,41,296
RFX5,A549,1.0,2,0,1,0,1
RFX5,MCF7,0.7142857142857143,7,2,4,0,1
TEAD4,MDA-MB-231,0.5277777777777778,36,16,11,1,8
TEAD4,AN3_CA,0.5454034298566207,7114,3133,2973,101,907
TEAD4,A549,0.6630357900693168,7069,2283,2854,99,1833
TEAD4,SK-N-SH,0.5877937336814621,3064,1208,1484,55,317
TEAD4,MCF7,0.6979747578514822,3407,1002,961,27,1417
FOXA1,22Rv1,0.39544474393531,37100,22043,7075,386,7596
FOXA1,A549,0.39076630176106614,25212,15255,5498,105,4354
FOXA1,AN3_CA,0.5589147286821705,1290,544,449,25,272
FOXA1,C4-2,0.5639578071608974,20193,8286,5012,519,6376
FOXA1,RT4,0.5673823072943611,15464,6279,4636,411,4138
FOXA1,HuH-7,0.7012642740619902,4904,1360,1122,105,2317
FOXA1,HEK_293,0.45933014354066987,209,110,75,3,21
FOXA1,MCF7,0.45814547640516984,26616,14116,5438,306,6756
FOXA1,Ishikawa,0.3122564935064935,12320,8402,2184,71,1663
FOXA1,LNCAP,0.493493352820484,35579,17191,6673,830,10885
ELK4,HELA,0.7977632805219013,2146,411,128,23,1584
ELK4,HEK_293,0.6022727272727273,264,96,35,9,124
TEAD1,C4-2,0.5749154536097633,6801,2765,2437,126,1473
TEAD1,MDA-MB-231,0.645634161886552,3138,1012,937,100,1089
TEAD1,MCF7,0.5268199233716475,23490,10888,7172,227,5203
ESR1,AN3_CA,0.8652482269503546,282,20,222,18,22
ESR1,MDA-MB-231,0.39581881533101043,5740,3347,1199,121,1073
ESR1,MCF7,0.5764273375559198,22577,9201,8628,362,4386
ESR1,Ishikawa,0.462859869572133,6287,3273,2032,104,878
FOXA2,A549,0.4672125690699687,15021,7884,3643,119,3375
FOXA2,MDA-MB-231,0.4137061403508772,9120,5254,2029,93,1744
FOXA2,LNCAP,0.4972375690607735,181,75,43,16,47
MAX,22Rv1,0.6245003526922173,4253,1573,1252,24,1404
MAX,A549,0.5184184941125635,9257,4400,2695,58,2104
MAX,AN3_CA,0.4998892089519167,4513,2209,1015,48,1241
MAX,HELA,0.6923076923076923,13,4,8,0,1
MAX,SK-N-SH,0.4331540886334137,5393,2985,1553,72,783
MAX,MDA-MB-231,0.45912910618792974,1309,681,200,27,401
MAX,MCF7,0.6031109234234234,14208,5575,5245,64,3324
MAX,Ishikawa,0.5632183908045977,2436,1014,561,50,811
EGR1,HELA,0.5839552238805971,1608,624,378,45,561
EGR1,AN3_CA,0.6429484448231785,9388,2713,2963,639,3073
EGR1,MCF7,0.6816466552315609,14575,4180,4109,460,5826
JUNB,MDA-MB-231,0.5373134328358209,402,159,91,27,125
JUNB,A549,0.678132373028685,8053,2425,1852,167,3609
JUNB,MCF7,0.7415282392026578,1505,365,280,24,836
ZFX,22Rv1,0.5714285714285714,3605,1456,566,89,1494
ZFX,C4-2,0.4936518183774478,4647,2259,924,94,1370
ZFX,HEK_293,0.33162460567823343,5072,3332,633,58,1049
ZFX,MCF7,0.5001461988304093,6840,3344,1009,75,2412
RUNX2,C4-2,0.39137022397891963,15180,8921,4572,318,1369
RUNX2,MCF7,0.5689655172413793,232,99,101,1,31
FOSL2,MDA-MB-231,0.6925209629429266,14788,3953,3354,594,6887
FOSL2,A549,0.6259361198233374,15623,5641,3063,203,6716
FOSL2,MCF7,0.6730874466455072,9137,2893,1353,94,4797
RUNX1,THP-1,0.589378687955571,23048,8984,6667,480,6917
RUNX1,HEK_293,0.7957475083056479,7525,1315,5599,222,389
RUNX1,MCF7,0.6837606837606838,117,35,29,2,51
RUNX1,LNCAP,0.8571428571428571,35,1,29,4,1
CREB1,A549,0.7184890656063618,2515,688,597,20,1210
CREB1,AN3_CA,0.6999526739233317,2113,625,313,9,1166
CREB1,MCF7,0.49126946672958943,4238,2141,468,15,1614
CREB1,LNCAP,0.6445264452644527,3252,1137,748,19,1348
GRHL2,MCF7,0.5383698760724499,12588,5683,2888,128,3889
GRHL2,LNCAP,0.6666666666666666,9,2,2,1,4
STAT2,THP-1,0.8648648648648649,37,3,32,2,0
STAT2,MCF7,0.8823529411764706,34,2,30,2,0
STAT2,LNCAP,0.9545454545454546,88,3,75,1,9
